City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,kyabe,9.4515,18.9449,28.6,20,100,2.17,TD,1733599189
312,olinda,-8.0089,-34.8553,27.85,74,40,5.14,BR,1733599190
313,dakhla,23.6848,-15.958,20.01,64,0,8.75,EH,1733598906
314,ivrindi,39.5839,27.4864,9.61,86,91,3.99,TR,1733599192
315,harper,4.375,-7.7169,26.78,78,15,3.38,LR,1733599193
316,afaahiti,-17.75,-149.2833,25.44,81,92,9.29,PF,1733599194
317,cloverdale,38.8055,-123.0172,15.81,68,100,1.79,US,1733599196
318,polyarnyy,69.1989,33.4478,-1.93,86,99,9.86,RU,1733599170
319,bologoye,57.8799,34.1068,-4.23,92,96,2.39,RU,1733599198
320,karratha,-20.7377,116.8463,28.67,69,100,4.07,AU,1733599199
321,fruita,39.1589,-108.729,7.18,43,0,5.66,US,1733599200
322,westport,41.1415,-73.3579,5.45,48,100,2.68,US,1733598857
323,egilsstadir,65.2653,-14.3948,-2.05,64,0,1.54,IS,1733599202
324,kheri,27.9,80.8,13.6,35,0,1.97,IN,1733599204
325,kourou,5.1552,-52.6478,28.21,67,34,3.88,GF,1733599205
326,marquette,46.5333,-87.6335,1.13,86,100,5.81,US,1733599206
327,saint-philippe,-21.3585,55.7679,24.66,85,31,4.15,RE,1733599207
328,antsiranana,-12.2787,49.2917,25.41,81,100,4.27,MG,1733599209
329,palmer,42.1584,-72.3287,3.29,52,75,1.54,US,1733599210
330,motueka,-41.1333,173.0167,15.54,60,100,0.93,NZ,1733599211
331,saint-joseph,-21.3667,55.6167,24.21,82,15,3.92,RE,1733599212
332,ad dabbah,18.05,30.95,25.81,24,95,4.69,SD,1733599214
333,deqen,29.9618,90.7188,-2.69,38,0,2.57,CN,1733599216
334,andujar,38.0392,-4.0508,15.09,63,76,1.47,ES,1733599217
335,al buraymi,24.2509,55.7931,20.68,73,5,2.57,OM,1733599218
336,hengchun,22.0042,120.7439,21.57,78,10,10.14,TW,1733599219
337,kavaratti,10.5669,72.642,27.43,76,67,1.02,IN,1733599220
338,forquilhinha,-28.7475,-49.4722,19.07,93,100,0.81,BR,1733599221
339,bilopillya,51.1502,34.3129,0.26,89,100,5.92,UA,1733599222
340,shimanovsk,52.0,127.7,-16.33,93,28,2.58,RU,1733599225
341,bonthe,7.5264,-12.505,26.53,65,100,3.22,SL,1733599226
342,malindi,-3.2175,40.1191,26.6,86,7,5.78,KE,1733599228
343,matoury,4.8483,-52.3317,29.98,66,20,7.2,GF,1733599229
344,naze,28.3667,129.4833,13.51,78,100,9.66,JP,1733599230
345,kampene,-3.6,26.6667,21.26,81,97,0.5,CD,1733599231
346,binzhou,37.3667,118.0167,-3.39,38,0,3.13,CN,1733599232
347,shevchenko,48.5,35.0,2.01,82,99,5.72,UA,1733599233
348,nelson bay,-32.7167,152.15,22.83,94,100,3.13,AU,1733599234
349,zurrieq,35.8311,14.4742,15.73,77,20,5.14,MT,1733599236
350,astaneh-ye ashrafiyeh,37.2596,49.9444,10.51,87,100,1.03,IR,1733599237
351,north bend,43.4065,-124.2243,11.95,100,100,3.09,US,1733599238
352,afif,23.9065,42.9172,19.77,24,13,3.82,SA,1733599239
353,urangan,-25.3,152.9,25.09,72,0,4.35,AU,1733599240
354,mount isa,-20.7333,139.5,24.87,94,7,0.0,AU,1733599142
355,hammerfest,70.6634,23.6821,3.25,81,75,2.06,NO,1733599243
356,priob'ye,62.5206,65.5964,-17.21,98,42,1.51,RU,1733599244
357,lompoc,34.6391,-120.4579,25.01,29,0,1.54,US,1733599246
358,hilo,19.7297,-155.09,26.72,76,0,2.24,US,1733599249
359,manta,-0.95,-80.7333,28.88,65,40,5.66,EC,1733599067
360,lerwick,60.1545,-1.1494,5.79,67,100,11.4,GB,1733599251
361,warwick,41.7001,-71.4162,5.28,47,40,5.66,US,1733599252
